,feature,informations
0,SK_ID_CURR,ID of loan in our sample
1,TARGET,"Target variable (1 - client with payment difficulties: he/she had late payment more than X days on at least one of the first Y installments of the loan in our sample, 0 - all other cases)"
2,CODE_GENDER,Gender of the client
3,FLAG_OWN_CAR,Flag if the client owns a car
4,FLAG_OWN_REALTY,Flag if client owns a house or flat
5,CNT_CHILDREN,Number of children the client has
6,AMT_INCOME_TOTAL,Income of the client
7,AMT_CREDIT,Credit amount of the loan
8,AMT_ANNUITY,Loan annuity
9,AMT_GOODS_PRICE,For consumer loans it is the price of the goods for which the loan is given
10,REGION_POPULATION_RELATIVE,Normalized population of region where client lives (higher number means the client lives in more populated region)
11,DAYS_BIRTH,Client's age in days at the time of application
12,DAYS_REGISTRATION,How many days before the application did client change his registration
13,DAYS_ID_PUBLISH,How many days before the application did client change the identity document with which he applied for the loan
14,FLAG_MOBIL,"Did client provide mobile phone (1=YES, 0=NO)"
15,FLAG_EMP_PHONE,"Did client provide work phone (1=YES, 0=NO)"
16,FLAG_WORK_PHONE,"Did client provide home phone (1=YES, 0=NO)"
17,FLAG_CONT_MOBILE,"Was mobile phone reachable (1=YES, 0=NO)"
18,FLAG_PHONE,"Did client provide home phone (1=YES, 0=NO)"
19,FLAG_EMAIL,"Did client provide email (1=YES, 0=NO)"
20,CNT_FAM_MEMBERS,How many family members does client have
21,REGION_RATING_CLIENT,"Our rating of the region where client lives (1,2,3)"
22,REGION_RATING_CLIENT_W_CITY,"Our rating of the region where client lives with taking city into account (1,2,3)"
23,HOUR_APPR_PROCESS_START,Approximately at what hour did the client apply for the loan
24,REG_REGION_NOT_LIVE_REGION,"Flag if client's permanent address does not match contact address (1=different, 0=same, at region level)"
25,REG_REGION_NOT_WORK_REGION,"Flag if client's permanent address does not match work address (1=different, 0=same, at region level)"
26,LIVE_REGION_NOT_WORK_REGION,"Flag if client's contact address does not match work address (1=different, 0=same, at region level)"
27,REG_CITY_NOT_LIVE_CITY,"Flag if client's permanent address does not match contact address (1=different, 0=same, at city level)"
28,REG_CITY_NOT_WORK_CITY,"Flag if client's permanent address does not match work address (1=different, 0=same, at city level)"
29,LIVE_CITY_NOT_WORK_CITY,"Flag if client's contact address does not match work address (1=different, 0=same, at city level)"
30,EXT_SOURCE_2,Normalized score from external data source
31,OBS_30_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings with observable 30 DPD (days past due) default
32,DEF_30_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings defaulted on 30 DPD (days past due) 
33,OBS_60_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings with observable 60 DPD (days past due) default
34,DEF_60_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings defaulted on 60 (days past due) DPD
35,DAYS_LAST_PHONE_CHANGE,How many days before application did client change phone
36,FLAG_DOCUMENT_2,Did client provide document 2
37,FLAG_DOCUMENT_3,Did client provide document 3
38,FLAG_DOCUMENT_4,Did client provide document 4
39,FLAG_DOCUMENT_5,Did client provide document 5
40,FLAG_DOCUMENT_6,Did client provide document 6
41,FLAG_DOCUMENT_7,Did client provide document 7
42,FLAG_DOCUMENT_8,Did client provide document 8
43,FLAG_DOCUMENT_9,Did client provide document 9
44,FLAG_DOCUMENT_10,Did client provide document 10
